request_id,fold
d56c5c9c-a568-6ed5-b255-abfd29c52fb0,train
a5af955e-2233-e752-b933-1d171fff8832,train
3c20addd-1d9a-c865-aaf0-3477ce76de43,train
8e6fb08a-378e-a478-5f06-b68d142b6389,train
edd9d9b6-5cba-38c2-7177-3719421d9e97,train
6eef5fb2-8685-76f5-6cb2-5cd5d4071cec,train
82dd7f55-dbee-1986-6226-a4ba8de195f9,train
b6d87e46-ed12-26f6-7d52-4eb33b5887b8,train
9f336b77-b5c0-ea1d-5417-ce23541d6a4d,train
c0edfe54-5673-2947-f559-efc4c7b5883e,train
04ad4d45-6bbf-8fee-42bc-c7352fe28950,train
a125d7b9-7c9a-9577-d6a9-6141c855b91a,train
d5810cef-0a72-343a-2c28-04e05c76131b,train
83a40277-c93f-331c-ec99-8cb018309039,train
d05ac39b-a800-cbf0-69b5-334592cdd483,train
7eeba12d-d129-081d-5d2d-18b880e1ce00,train
860c59a4-7d75-d3e8-e4d6-b0b4f0b08b1d,train
368474e6-10dd-4008-deb6-8f0e19b57ad3,train
b9d567f1-880e-55c9-4919-983c815b6821,train
c9d5aa72-06e5-5fd2-5fd0-f80fe0fd7b19,train
bfb698fd-fd9b-98d8-fa04-508b106f638f,train
ae134c84-ef11-4d96-d466-35308655622e,train
744816a8-43c0-3d13-6cec-202079aecc4a,train
1d9622e2-d934-2f63-7162-8b91ce708203,train
8a420eb3-2406-0d58-65c1-cce71e0503e6,train
33a58fb9-229e-6ac5-4b3d-7ceb4e557aa7,train
fe5d3a0c-94cd-7480-70e4-b746689fa3be,train
36afc228-51bb-927f-0cf3-d5ca95bf0ca1,train
dea8eca5-359d-1959-0602-046ab346bde7,train
d5c824b9-62af-735c-ce03-1ed8a371dd31,train
f491e1c7-817d-b164-782d-6e530fa9d965,train
90fe8eed-87c8-ec4e-afe2-20388e783ff1,train
d397dd34-1221-b0df-d756-b5a6a3758f06,train
30cf5f56-49cc-e5e2-2592-c7cbc8c97b7f,train
bcf7c524-a012-bfcf-5fa9-4b084e515e7b,train
9a9af6a6-8a76-85ef-8fa5-01c2edf9e2d1,train
5e4a4d40-993d-4ceb-ba74-d86244f5ac32,train
2c517cc8-699c-1269-1d5a-eeb4f7b0e1b4,train
3c7e578f-41a4-ecb7-1181-06a17896243b,train
0d1cd51a-38ce-c190-a898-d76516058cf5,train
9833526b-9347-a549-1f38-1b252316dcd1,train
5b48f639-f4a5-3d5e-d5a9-467b4a4c0096,train
ad5a6425-8cb8-be8b-ed81-069fe7c64dc2,train
1c2c77be-6fac-7b01-09be-1eee4caff596,train
4c059e35-e3c5-4116-2929-2e455b991185,train
52709841-3d99-d2a5-8fdc-16f5a6a2c226,train
c8423d42-26e2-0e11-ca65-9aa4438457e6,train
13c37c07-c1a0-e4ef-c5fd-7a7f96f4593b,train
7dc3c1b1-0c1d-1150-5c32-e58606aa634f,train
4aeb09f2-7626-3f48-d167-bdda36aac8c2,train
fb8454f7-eb96-b040-873d-cc9672282c06,train
a8a52111-6181-91dd-6a8a-493d77bf7246,train
95a21ff6-d30b-c813-c8ca-9569b3e6daa6,train
d9e53c9d-3ac7-8b57-d803-75f3d39f94b9,train
e86b930f-077a-10f0-7e0b-722dff58b704,train
3184a667-8e94-abb6-a4bf-17c7d30238d4,train
4ea50607-e04f-2f95-b192-8676dcacfc32,train
c2fcde05-8511-6d9d-f848-8f159dcd36d5,train
a7dcc14b-6b98-a355-02fa-705b68d25dd9,train
1e50d7d4-c8a3-79d7-9b8f-f38f34229fac,train
261a9009-00db-4f3d-0ecc-e9d57b98b071,train
77e3857f-675d-5eec-c4a3-e1a287190138,train
d5708805-0270-7e13-759f-adf3f1af8cd6,train
90b51a21-7c5a-f0d6-cc93-701a2445600e,train
85800b28-dcfe-0157-e41c-3389f79a290c,train
69ae1612-b1b9-dc72-6aec-b718d7bb0e1a,train
721dbe71-89cd-e26c-e412-65466f886abc,train
84dfe5c7-938b-744b-ca37-6000d7ddf79f,train
6a88d85a-0b53-d1b8-5615-4469e894c81f,train
df81d425-ca60-f96f-c991-bf5195dbc745,train
3cc99257-8cb9-57df-cc65-b75b38d78c2a,train
f148b6a1-7e58-f583-e6db-afb1d10b2539,train
8b649a79-c4d0-094f-38a9-d9e7be50afd9,train
3feed20b-e425-f587-1544-ad93a150c52f,train
54668ad2-ccb0-24d1-e437-e145bcd71f1e,train
bc6b6f55-d801-6e64-f2ce-1ee46aa47fcc,train
41a85148-2e0a-7858-99d1-dfc78ca356cd,train
fc43419e-b849-ddb3-e536-88cce6d6c021,train
6316784b-1dd2-9416-7690-3cac5b7b66c5,train
a525734d-0a3e-24d3-5a0e-cc9d5835194a,train
b1bc0296-1a74-76f5-0e56-334234d73f28,train
43d74e55-4eb5-34cb-6b2a-8d37a723a1c8,train
50a3d726-afd2-8521-daa4-2c7583df63db,train
f5102603-ce3e-bb44-2777-7d8f0f0927ca,train
4575afdc-a5c6-daef-98d4-eee3df82b194,train
