workflow_name,method,window,window_start_ms,p50_count,p90_count,p95_count,ceil_p50_count,ceil_p90_count,ceil_p95_count,alloc_p50_count,alloc_p90_count,alloc_p95_count
spoken_dialog_flow,burst-localized,380001008,1900005040000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001009,1900005045000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001010,1900005050000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001011,1900005055000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001012,1900005060000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001013,1900005065000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001014,1900005070000,3.887958115183246,13.0,13.0,4,13,13,4,13,13
spoken_dialog_flow,burst-localized,380001015,1900005075000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001016,1900005080000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001017,1900005085000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001018,1900005090000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001019,1900005095000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001020,1900005100000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001021,1900005105000,3.887958115183246,13.0,13.0,4,13,13,4,13,13
spoken_dialog_flow,burst-localized,380001022,1900005110000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001023,1900005115000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001024,1900005120000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001025,1900005125000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001026,1900005130000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001027,1900005135000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001028,1900005140000,3.887958115183246,13.0,13.0,4,13,13,4,13,13
spoken_dialog_flow,burst-localized,380001029,1900005145000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001030,1900005150000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
spoken_dialog_flow,burst-localized,380001031,1900005155000,3.3803220825053493,3.3803220825053493,3.3803220825053493,4,4,4,4,4,4
