workflow_name,method,level,stage_name,window,window_start_ms,actual_count,policy,forecast_count,allocated_count,absolute_error,under_count,over_count,covered,window_ms
spoken_dialog_flow,ewma,entry,__entry__,380001008,1900005040000,5,p50,3.3803220825053493,4,1.6196779174946507,1,0,False,5000
spoken_dialog_flow,ewma,entry,__entry__,380001008,1900005040000,5,p90,7.100000000000001,8,2.1000000000000014,0,3,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001008,1900005040000,5,p95,8.0,8,3.0,0,3,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001009,1900005045000,2,p50,3.3803220825053493,4,1.3803220825053493,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001009,1900005045000,2,p90,7.100000000000001,8,5.100000000000001,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001009,1900005045000,2,p95,8.0,8,6.0,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001010,1900005050000,2,p50,3.3803220825053493,4,1.3803220825053493,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001010,1900005050000,2,p90,7.100000000000001,8,5.100000000000001,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001010,1900005050000,2,p95,8.0,8,6.0,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001011,1900005055000,3,p50,3.3803220825053493,4,0.38032208250534927,0,1,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001011,1900005055000,3,p90,7.100000000000001,8,4.100000000000001,0,5,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001011,1900005055000,3,p95,8.0,8,5.0,0,5,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001012,1900005060000,3,p50,3.3803220825053493,4,0.38032208250534927,0,1,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001012,1900005060000,3,p90,7.100000000000001,8,4.100000000000001,0,5,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001012,1900005060000,3,p95,8.0,8,5.0,0,5,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001013,1900005065000,0,p50,3.3803220825053493,4,3.3803220825053493,0,4,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001013,1900005065000,0,p90,7.100000000000001,8,7.100000000000001,0,8,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001013,1900005065000,0,p95,8.0,8,8.0,0,8,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001014,1900005070000,2,p50,3.3803220825053493,4,1.3803220825053493,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001014,1900005070000,2,p90,7.100000000000001,8,5.100000000000001,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001014,1900005070000,2,p95,8.0,8,6.0,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001015,1900005075000,6,p50,3.3803220825053493,4,2.6196779174946507,2,0,False,5000
spoken_dialog_flow,ewma,entry,__entry__,380001015,1900005075000,6,p90,7.100000000000001,8,1.1000000000000014,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001015,1900005075000,6,p95,8.0,8,2.0,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001016,1900005080000,1,p50,3.3803220825053493,4,2.3803220825053493,0,3,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001016,1900005080000,1,p90,7.100000000000001,8,6.100000000000001,0,7,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001016,1900005080000,1,p95,8.0,8,7.0,0,7,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001017,1900005085000,2,p50,3.3803220825053493,4,1.3803220825053493,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001017,1900005085000,2,p90,7.100000000000001,8,5.100000000000001,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001017,1900005085000,2,p95,8.0,8,6.0,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001018,1900005090000,2,p50,3.3803220825053493,4,1.3803220825053493,0,2,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001018,1900005090000,2,p90,7.100000000000001,8,5.100000000000001,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001018,1900005090000,2,p95,8.0,8,6.0,0,6,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001019,1900005095000,1,p50,3.3803220825053493,4,2.3803220825053493,0,3,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001019,1900005095000,1,p90,7.100000000000001,8,6.100000000000001,0,7,True,5000
spoken_dialog_flow,ewma,entry,__entry__,380001019,1900005095000,1,p95,8.0,8,7.0,0,7,True,5000
